Length, Risk, TravelTime, Paths.x, Paths.y, Cost, Weight
22.6165,2.23964,11.3083,"1;1.35449;1.96246;2.83655;3.60966;4.51189;4.9822;5.42284;5.67126;6.43143;6.94406;7.48102;8.37603;8.79537;9.27053;9.78223;10.5756;11.4565;12.3338;12.95;13.7376;14.4034;14.8924;15.651;16.2263;16.8889;17.3713;18.1878;18.7866;19.3392;19.6513;20.3635;21","15;15.0843;15.2974;15.6947;16.329;16.7554;16.9039;17.3319;17.6433;18.0017;18.467;18.7284;19.0824;19.2092;19.3173;19.5541;19.7663;19.7288;19.7692;19.638;19.4496;19.0822;18.8333;18.5118;18.1665;17.7175;17.3892;16.8828;16.5306;16.0709;15.864;15.3505;15",6.31501,"0.2;0.8;0"
23.8062,101.736,2.66884,"1;1.48067;1.97692;2.46029;3.10153;3.89763;4.6065;5.35404;5.85369;6.47922;7.24381;7.57084;8.29394;8.90262;9.2654;9.93803;10.8116;11.7761;12.5059;13.3787;14.2919;15.2155;15.9083;16.7184;17.4738;18.1771;19.011;19.7107;19.9668;20.2861;21","15;14.1975;13.4839;12.8213;12.5618;12.3179;12.1033;11.9414;11.8642;11.669;11.4732;11.3823;10.9474;10.5672;10.3187;10.057;9.57673;9.62401;10.1226;10.1758;10.4222;10.7591;10.9683;11.4072;11.6399;12.1481;12.6458;13.093;13.6948;14.4789;15",11.1238,"0.4;0;0.6"
25.6096,4.53825,2.7227,"1;1.6721;2.29971;2.72126;3.26121;4.05354;4.69243;5.34644;5.83717;6.51216;7.16368;7.58045;8.17943;8.75566;9.68963;10.0859;10.6742;11.3648;12.2937;13.1928;14.1907;14.9486;15.818;16.0534;16.7909;17.1037;17.7913;18.5553;18.9221;19.4556;19.9272;20.3748;20.545;20.9109;21","15;14.4188;13.8971;13.199;12.5353;11.9432;11.4467;10.9768;10.3661;9.75235;9.27726;8.99789;8.6353;8.27177;8.21087;8.14686;7.99898;8.13932;8.35651;8.73882;8.72122;8.97248;9.34915;9.54128;10.0863;10.3704;11.0363;11.61;12.185;12.4847;12.8102;13.3813;13.6125;14.2901;15",12.2406,"0.4;0.2;0.4"
22.0139,2.50732,11.0069,"1;1.95441;2.50396;3.20897;3.46791;4.2282;4.67931;5.47342;5.92939;6.6713;7.02683;7.79213;8.14478;9.12443;9.69047;10.5014;11.3089;11.9926;12.8373;13.1895;14.0979;15.0004;15.8818;16.4424;17.3598;18.0349;18.4929;18.9969;19.808;20.3438;21","15;15.2985;15.5637;15.9414;16.2484;16.6814;17.0685;17.6087;17.7585;18.1496;18.2915;18.6072;18.7156;18.7399;18.9876;19.0463;18.7732;18.7112;18.7291;18.6162;18.3094;18.1151;17.8829;17.5722;17.2962;16.8534;16.5762;16.1801;15.7969;15.3868;15",12.0099,"0.4;0.4;0.2"
21.9744,2.50602,10.9872,"1;1.1601;1.90174;2.49024;2.85786;3.66638;4.14749;4.7765;5.41635;6.31812;7.15637;8.12515;8.67017;9.10866;10.0243;10.873;11.0643;12.0373;12.8273;13.5479;14.2916;14.6009;15.5009;16.4123;17.2178;17.9612;18.7897;19.6831;20.1545;21","15;15.0404;15.4323;15.8532;16.0042;16.3838;16.7307;17.0414;17.5191;17.9384;18.3382;18.5254;18.6968;18.8274;19.0299;19.1915;19.177;19.1634;18.8884;18.6236;18.2766;18.1714;17.7575;17.3461;16.7622;16.4173;15.9391;15.5268;15.1535;15",10.2934,"0.4;0.6;0"
23.3133,168.809,2.95348,"1;1.71383;2.07885;2.6293;3.00822;3.6547;3.86413;4.62765;5.15523;5.85705;6.25521;7.05631;7.97657;8.78088;9.32491;9.71692;10.4781;11.1922;12.1162;12.8056;13.7537;14.681;15.1801;16.0262;16.816;17.4606;18.3063;19.0288;19.5448;20.0211;20.3203;20.7824;21","15;14.2997;13.9554;13.4379;13.2035;12.5678;12.4368;12.1104;11.8846;11.4551;11.4215;11.2213;10.8829;10.6173;10.286;9.96955;9.93012;9.7551;10.0914;10.3141;10.501;10.7534;10.9487;11.2387;11.6981;11.9331;12.316;12.59;13.0533;13.5789;13.833;14.3597;15",15.1694,"0.6;0;0.4"
21.5624,3.12975,10.7812,"1;1.62151;2.5088;2.72346;3.25743;4.13185;4.45031;5.25628;5.7313;6.34137;7.10866;7.79391;8.68512;9.52618;9.69861;10.5672;11.2115;11.9108;12.776;13.3601;14.289;14.9856;15.4993;16.0342;16.7662;17.4722;17.9955;18.408;19.0593;19.8772;20.1408;21","15;15.1077;15.5005;15.6089;16.1216;16.3902;16.435;16.9901;17.2016;17.3967;17.5353;17.7749;17.8252;18.3621;18.3351;18.4686;18.5842;18.2355;18.0486;17.6667;17.3968;17.0925;16.8833;16.6728;16.5428;16.1026;15.8968;15.7239;15.4973;15.2486;15.1993;15",15.7197,"0.6;0.2;0.2"
21.4044,3.24462,10.7022,"1;1.38066;2.25297;3.1499;3.78964;4.33978;5.06379;5.88656;6.29089;6.97122;7.73648;7.87031;8.70916;9.55176;10.0189;10.4906;11.4018;12.1183;12.8702;13.7264;14.5365;15.2994;15.8776;16.6164;17.1245;18.0463;18.9723;19.7655;20.2748;21","15;15.2963;15.7831;16.0621;16.2432;16.2784;16.7201;17.0988;17.3236;17.5972;17.8519;17.8906;18.1575;18.2064;18.2414;18.3025;18.2586;18.1842;17.7761;17.3801;17.1352;16.8698;16.7607;16.7062;16.6648;16.3625;16.1301;15.8682;15.6114;15",14.1405,"0.6;0.4;0"
20.3534,58.0547,10.1767,"1;2;2.74627;3.63021;4.11116;4.62988;5.30982;6.06509;6.93216;7.84322;8.48346;8.96054;9.895;10.749;11.4178;12.2937;13.247;13.7634;14.4225;15.234;15.4987;16.2975;17.0438;17.653;18.4086;19.0838;19.6349;20.4843;21","15;15;14.978;15.223;15.332;15.3109;15.3598;15.5865;15.7206;15.8751;16.0716;16.0887;16.1766;16.1247;16.2323;16.3152;16.2732;16.1402;15.9637;15.7459;15.7158;15.8469;15.586;15.4191;15.2694;15.2345;15.1307;15.1658;15",18.3181,"0.8;0;0.2"
21.4302,3.12936,10.7151,"1;1.73342;2.68092;2.93409;3.64522;4.31367;5.22565;5.54336;6.46844;7.35594;7.88506;8.46857;9.25927;9.89981;10.4257;11.3729;12.3245;13.145;14.0361;14.6911;15.1672;15.9715;16.5099;17.2638;18.2075;18.7422;19.2847;19.5806;20.4802;21","15;15.2616;15.56;15.7018;16.0506;16.4067;16.6662;16.8303;17.1683;17.2969;17.4463;17.6503;17.6783;17.9009;18.0652;18.3144;18.273;18.1399;18.0406;17.8504;17.7567;17.5236;17.4341;17.0176;16.6982;16.2182;15.6209;15.4267;15.0564;15",17.77,"0.8;0.2;0"
20.3657,43.7662,10.1828,"1;1.67751;2.36296;2.80389;3.3756;3.96828;4.533;5.22509;5.93058;6.88055;7.39273;8.02895;8.88935;9.07798;10.0506;10.6969;11.4076;12.27;13.1209;14.093;14.9037;15.8448;16.7873;17.0881;17.8439;18.5056;19.3542;20.1044;21","15;15.2449;15.3118;15.3831;15.4946;15.5223;15.6155;15.7069;15.9361;16.2251;16.3322;16.4277;16.4421;16.4946;16.282;16.2022;16.2357;16.089;15.9682;15.9864;15.7317;15.8324;15.5539;15.4737;15.2836;15.2606;15.2016;15.0861;15",20.3657,"1;0;0"
