Iteration, w1,w2,w3, f1,f2,f3, MaxRegret
168,0.0247692,0.975231,0, 33.8965,0.566486,0.369503, 0.00613148
169,0.0261428,0.973857,0, 33.4292,0.578544,16.7146, 0.00611039
171,0.991595,0.00670545,0.00169955, 21.2254,23.2386,0.271226, 0.00534283
174,0.99165,0.0083504,0, 21.2179,23.5044,10.609, 0.00519335
175,0.0154449,0.984555,0, 37.3059,0.499706,0.396682, 0.00519084
176,0.991669,0.00833095,0, 21.2185,24.064,0.308689, 0.00518125
177,0.0177649,0.982235,0, 36.0056,0.521313,18.0028, 0.00515425
178,0.137021,0.862979,0, 25.9946,1.07217,0.269147, 0.00513718
179,0.0192804,0.98072,0, 35.3426,0.534102,17.6713, 0.00513035
180,0.020153,0.979847,0, 34.98,0.541333,17.49, 0.00511658
182,0.422558,0.577442,0, 23.5002,1.90777,11.7501, 0.00503739
186,0.0947978,0.905202,0, 27.3439,0.897177,0.341619, 0.00500925
