Length, Risk, TravelTime, Paths.x, Paths.y, Cost, Weight
20.0882,0.964028,10.0441,"1;1.96337;2.93468;3.67409;4.60643;5.37925;5.63222;6.41837;7.13188;7.69133;8.43072;9.42989;10.3171;10.8906;11.8468;12.812;13.7948;14.3029;14.9305;15.3646;16.2323;17.2149;18.0726;19.0655;19.9428;20.5283;21","15;15.0051;14.864;14.7419;14.7041;14.6378;14.6002;14.5225;14.5915;14.4468;14.4644;14.4416;14.5507;14.5267;14.5215;14.5481;14.6156;14.647;14.6429;14.6597;14.7156;14.8605;14.8959;14.8365;14.8621;14.9308;15",4.78887,"0.2;0.8;0"
22.1839,1.35038,2.67954,"1;1.50279;2.01475;2.56702;3.09078;3.64781;4.15507;4.68396;5.51832;6.18339;6.99951;7.8885;8.17095;8.98386;9.96895;10.9194;11.4603;12.1983;12.7522;13.6664;14.2397;15.0792;15.8584;16.6969;17.5588;18.172;18.5983;19.2909;19.6681;20.1629;20.7107;21","15;14.3601;13.7553;13.0473;12.8029;12.7919;12.8056;12.7987;12.7316;12.7171;12.6964;12.7561;12.7486;12.6767;12.6059;12.7187;12.75;12.84;12.8789;12.8016;12.6212;12.5389;12.6671;12.6584;12.5964;12.7228;12.8467;12.9363;12.9907;13.7569;14.5599;15",10.4813,"0.4;0;0.6"
22.2301,1.28563,2.96279,"1;1.65035;2.19905;2.55148;3.01441;3.53318;4.39862;5.0043;5.69051;6.57206;7.39257;8.28976;8.81504;9.79628;10.3019;11.159;11.6672;12.1761;13.0905;13.8318;14.5849;15.5215;15.6719;16.549;17.2336;18.2292;18.74;18.9562;19.3628;19.6672;20.0587;20.7374;21","15;14.3886;13.7926;13.3658;12.6234;12.5863;12.5433;12.6618;12.5415;12.6037;12.5561;12.6818;12.6907;12.6456;12.6946;12.6765;12.6696;12.6604;12.7556;12.8433;12.5797;12.656;12.6855;12.6475;12.4426;12.5003;12.87;13.0351;13.5178;13.8724;14.2366;14.7401;15",10.3343,"0.4;0.2;0.4"
21.4652,1.08718,3.58196,"1;1.80275;2.46218;2.52849;3.32285;4.04754;4.27489;5.10588;5.95396;6.18563;7.14687;8.02814;8.86125;9.60918;10.2189;11.0941;11.9515;12.568;13.0556;13.8531;14.7463;15.0532;15.8691;16.6907;16.8689;17.8314;18.419;18.874;19.6101;20.0368;20.5353;21","15;14.6232;14.2149;14.1727;13.6102;12.9991;12.9452;12.9523;12.881;12.7959;12.7473;12.5124;12.5344;12.518;12.5398;12.4838;12.6606;12.8157;12.848;12.8881;12.7437;12.7082;12.7819;12.8503;12.8565;12.8967;12.9414;13.2733;13.9278;14.344;14.712;15",9.73735,"0.4;0.4;0.2"
20.0671,0.961377,10.0336,"1;1.36557;2.13482;2.56123;3.2658;3.96435;4.5202;5.30118;6.10356;6.83195;7.58384;8.24942;8.85759;9.31745;10.1958;10.4564;11.3276;12.2402;13.0446;13.9836;14.8442;15.4774;16.3176;16.873;17.6988;18.6046;19.2584;20.1584;21","15;14.9932;14.9934;14.9751;15.0672;15.1877;15.2637;15.2672;15.24;15.1854;15.1879;15.2064;15.1491;15.2474;15.27;15.3132;15.3892;15.4092;15.3327;15.2706;15.2215;15.2519;15.2955;15.3048;15.221;15.1382;15.1293;15.0554;15",8.60367,"0.4;0.6;0"
21.6748,1.20377,3.30154,"1;1.20792;1.92258;2.69569;2.87456;3.59176;4.55525;5.24779;6.23926;6.98013;7.7015;8.47515;9.17782;9.96285;10.5565;11.3425;11.9066;12.4604;13.3966;14.131;14.9667;15.6885;16.6437;17.4878;18.2853;18.7723;19.305;19.8886;20.4709;20.7416;21","15;14.795;14.185;13.5923;13.4432;12.9719;12.7144;12.7071;12.7478;12.4031;12.4699;12.6453;12.5974;12.7379;12.8196;12.8198;12.8529;12.8808;12.9343;12.8557;12.7977;12.7892;12.7441;12.6956;12.8545;13.0194;13.4207;13.9332;14.5312;14.8223;15",14.3255,"0.6;0;0.4"
21.3261,1.1099,3.8987,"1;1.81899;2.60967;3.16282;3.96602;4.39732;4.81466;5.73253;5.90015;6.81566;7.71595;8.26746;9.13184;9.89771;10.7059;11.2742;12.0222;12.6619;13.5606;14.4007;15.1417;15.8752;16.8158;17.7252;18.0553;18.3934;19.2746;19.9557;20.7391;21","15;14.516;13.9763;13.5796;13.0654;12.9064;12.8317;12.8768;12.8729;12.9719;12.9775;12.8804;12.8699;12.6637;12.6815;12.7402;12.7793;12.667;12.6994;12.7273;12.8591;12.8487;12.9991;12.9468;13.115;13.3103;13.7368;14.1173;14.6404;15",13.7974,"0.6;0.2;0.2"
20.1234,0.969171,10.0617,"1;1.02455;1.42578;2.29054;2.78666;3.63458;4.28162;5.00402;5.7208;6.62211;7.57803;8.56743;9.3267;10.1347;10.9875;11.9459;12.7481;13.7322;14.602;15.4082;16.0923;16.9675;17.9506;18.9128;19.5643;20.1469;21","15;14.9952;14.9071;14.9224;14.896;14.8573;14.7898;14.699;14.8109;14.8018;14.7635;14.6765;14.6226;14.7936;14.7195;14.8153;14.7914;14.6878;14.7104;14.7367;14.7277;14.8098;14.7253;14.7925;14.6837;14.8461;15",12.4617,"0.6;0.4;0"
21.1587,1.10333,4.5773,"1;1.37705;1.88852;2.47749;3.09042;3.97448;4.35041;5.22313;6.07047;6.55253;7.41912;7.58258;8.54335;8.81275;9.68563;10.2937;11.2404;12.1777;12.6128;13.5015;14.4091;15.3945;15.5484;16.4589;16.806;17.7253;18.1772;18.9808;19.5374;20.3195;21","15;14.8131;14.5107;13.9628;13.6544;13.1882;13.0561;12.7672;12.5716;12.6093;12.5173;12.5397;12.5039;12.5531;12.5256;12.575;12.6623;12.7221;12.6555;12.6856;12.8359;12.8434;12.8743;12.9452;13.0415;13.3174;13.3967;13.8153;14.1771;14.6964;15",17.8424,"0.8;0;0.2"
20.1339,0.964745,10.067,"1;1.72649;2.18647;3.11543;3.37473;4.36857;4.89809;5.71482;6.56069;7.45386;8.38611;9.2964;10.2524;11.0121;11.6956;12.091;12.7141;13.3976;13.7902;14.4299;15.1429;15.5668;16.3694;17.2968;17.9595;18.4337;19.2501;19.9758;20.4213;21","15;15.0384;15.0115;14.8795;14.8278;14.886;15.076;15.1612;15.1705;15.091;14.9896;15.0553;15.0799;15.0377;14.8872;14.897;14.8537;14.7946;14.8014;14.9274;15.0774;15.0453;14.9496;14.9806;14.981;14.985;15.0278;14.9358;14.9449;15",16.3001,"0.8;0.2;0"
20.1182,0.973761,10.0591,"1;1.97262;2.85609;3.49501;4.3778;5.37311;6.02509;6.4823;7.10621;8.06393;8.83574;9.56727;10.0326;11.0241;11.3329;12.0801;12.8392;13.7548;14.4456;15.4217;16.0598;16.8046;17.5877;18.4993;19.3178;20.1545;21","15;14.7676;14.7842;14.7776;14.7547;14.7933;14.802;14.7781;14.7949;14.8606;14.7627;14.6429;14.7295;14.8585;14.9497;15.0276;15.0598;15.1229;15.0606;15.1695;15.1932;15.2815;15.2824;15.1412;15.1645;15.066;15",20.1182,"1;0;0"
