ID,Weights
271,0.333333;0.2;0.466667
272,0.333333;0.233333;0.433333
273,0.333333;0.266667;0.4
274,0.333333;0.3;0.366667
275,0.333333;0.333333;0.333333
276,0.333333;0.366667;0.3
277,0.333333;0.4;0.266667
278,0.333333;0.433333;0.233333
279,0.333333;0.466667;0.2
280,0.333333;0.5;0.166667
281,0.333333;0.533333;0.133333
282,0.333333;0.566667;0.1
283,0.333333;0.6;0.0666667
284,0.333333;0.633333;0.0333333
285,0.333333;0.666667;0
286,0.366667;0;0.633333
287,0.366667;0.0333333;0.6
288,0.366667;0.0666667;0.566667
289,0.366667;0.1;0.533333
290,0.366667;0.133333;0.5
291,0.366667;0.166667;0.466667
292,0.366667;0.2;0.433333
293,0.366667;0.233333;0.4
294,0.366667;0.266667;0.366667
295,0.366667;0.3;0.333333
296,0.366667;0.333333;0.3
297,0.366667;0.366667;0.266667
298,0.366667;0.4;0.233333
299,0.366667;0.433333;0.2
300,0.366667;0.466667;0.166667
301,0.366667;0.5;0.133333
302,0.366667;0.533333;0.1
303,0.366667;0.566667;0.0666667
304,0.366667;0.6;0.0333333
305,0.366667;0.633333;0
306,0.4;0;0.6
307,0.4;0.0333333;0.566667
308,0.4;0.0666667;0.533333
309,0.4;0.1;0.5
310,0.4;0.133333;0.466667
311,0.4;0.166667;0.433333
312,0.4;0.2;0.4
313,0.4;0.233333;0.366667
314,0.4;0.266667;0.333333
315,0.4;0.3;0.3
316,0.4;0.333333;0.266667
317,0.4;0.366667;0.233333
318,0.4;0.4;0.2
319,0.4;0.433333;0.166667
320,0.4;0.466667;0.133333
321,0.4;0.5;0.1
322,0.4;0.533333;0.0666667
323,0.4;0.566667;0.0333333
324,0.4;0.6;0
325,0.433333;0;0.566667
326,0.433333;0.0333333;0.533333
327,0.433333;0.0666667;0.5
328,0.433333;0.1;0.466667
329,0.433333;0.133333;0.433333
330,0.433333;0.166667;0.4
331,0.433333;0.2;0.366667
332,0.433333;0.233333;0.333333
333,0.433333;0.266667;0.3
334,0.433333;0.3;0.266667
335,0.433333;0.333333;0.233333
336,0.433333;0.366667;0.2
337,0.433333;0.4;0.166667
338,0.433333;0.433333;0.133333
339,0.433333;0.466667;0.1
340,0.433333;0.5;0.0666667
341,0.433333;0.533333;0.0333333
342,0.433333;0.566667;0
343,0.466667;0;0.533333
344,0.466667;0.0333333;0.5
345,0.466667;0.0666667;0.466667
346,0.466667;0.1;0.433333
347,0.466667;0.133333;0.4
348,0.466667;0.166667;0.366667
349,0.466667;0.2;0.333333
350,0.466667;0.233333;0.3
351,0.466667;0.266667;0.266667
352,0.466667;0.3;0.233333
353,0.466667;0.333333;0.2
354,0.466667;0.366667;0.166667
355,0.466667;0.4;0.133333
356,0.466667;0.433333;0.1
357,0.466667;0.466667;0.0666667
358,0.466667;0.5;0.0333333
359,0.466667;0.533333;0
360,0.5;0;0.5
